osmid,highway,oneway,reversed,length,geometry,name,ref,access,lanes,tunnel,maxspeed,bridge,junction
211260244,primary,True,False,100.841,"LINESTRING (80.241748 13.0713642, 80.242036 13.0705018)",Mc Nichols Road,,,,,,,
23046395,residential,False,False,83.039,"LINESTRING (80.2457433 13.0736932, 80.244983 13.0735972)",,,,,,,,
23046395,residential,False,True,14.733,"LINESTRING (80.2457433 13.0736932, 80.2457538 13.0735611)",,,,,,,,
217685969,residential,False,False,10.638,"LINESTRING (80.2457433 13.0736932, 80.2457309 13.0737881)",,,,,,,,
28295566,residential,False,True,28.817,"LINESTRING (80.2433882 13.0734952, 80.2433495 13.0732388)",3rd Street,,,,,,,
1434320850,residential,False,False,15.909,"LINESTRING (80.2433882 13.0734952, 80.2432421 13.0735099)",,,,,,,,
1434320850,residential,False,True,54.138,"LINESTRING (80.2433882 13.0734952, 80.2434544 13.0734937, 80.2438879 13.0734841)",,,,,,,,
112716620,residential,False,True,30.336,"LINESTRING (80.2429518 13.073515, 80.2429484 13.0732422)",Jaganathapuram 2nd Street,,,,,,,
1042820540,residential,False,False,56.254,"LINESTRING (80.2429518 13.073515, 80.2430316 13.0740149)",Jaganathapuram 2nd Street,,,,,,,
1434320850,residential,False,True,31.448,"LINESTRING (80.2429518 13.073515, 80.2432421 13.0735099)",,,,,,,,
112716532,residential,False,False,48.538,"LINESTRING (80.2429254 13.0717302, 80.242489 13.071631)",School Road,,,,,,,
112716532,residential,False,True,37.673,"LINESTRING (80.2429254 13.0717302, 80.2432604 13.0718213)",School Road,,,,,,,
112716620,residential,False,False,91.036,"LINESTRING (80.2429254 13.0717302, 80.2429216 13.0725489)",Jaganathapuram 2nd Street,,,,,,,
112716620,residential,False,False,77.146,"LINESTRING (80.2429216 13.0725489, 80.2429484 13.0732422)",Jaganathapuram 2nd Street,,,,,,,
112716620,residential,False,True,91.036,"LINESTRING (80.2429216 13.0725489, 80.2429254 13.0717302)",Jaganathapuram 2nd Street,,,,,,,
1188126146,residential,False,True,45.866,"LINESTRING (80.2429216 13.0725489, 80.2424982 13.0725555)",,,,,,,,
28295565,residential,False,False,39.808,"LINESTRING (80.2424982 13.0725555, 80.2424976 13.0729135)",,,,,,,,
